PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
34951588,Investigating disagreement in the scientific literature,"Lamers WS, Boyack K, Larivière V, Sugimoto CR, van Eck NJ, Waltman L, Murray D.",Elife. 2021 Dec 24;10:e72737. doi: 10.7554/eLife.72737.,Lamers WS,Elife,2021,24/12/2021,PMC8709576,,10.7554/eLife.72737
30544901,Assessing the Role of Artificial Intelligence (AI) in Clinical Oncology: Utility of Machine Learning in Radiotherapy Target Volume Delineation,"Boon IS, Au Yong TPT, Boon CS.",Medicines (Basel). 2018 Dec 11;5(4):131. doi: 10.3390/medicines5040131.,Boon IS,Medicines (Basel),2018,15/12/2018,PMC6313566,,10.3390/medicines5040131
28360868,Gendered Expectations: Examining How Peers Shape Female Students' Intent to Pursue STEM Fields,"Riegle-Crumb C, Morton K.",Front Psychol. 2017 Mar 15;8:329. doi: 10.3389/fpsyg.2017.00329. eCollection 2017.,Riegle-Crumb C,Front Psychol,2017,01/04/2017,PMC5350122,,10.3389/fpsyg.2017.00329
33987454,"A systematic review of automated pre-processing, feature extraction and classification of cardiotocography","Al-Yousif S, Jaenul A, Al-Dayyeni W, Alamoodi A, Jabori I, Md Tahir N, Alrawi AAA, Cömert Z, Al-Shareefi NA, Saleh AH.",PeerJ Comput Sci. 2021 Apr 27;7:e452. doi: 10.7717/peerj-cs.452. eCollection 2021.,Al-Yousif S,PeerJ Comput Sci,2021,14/05/2021,PMC8093951,,10.7717/peerj-cs.452
34072479,The Bibliometric Literature on Scopus and WoS: The Medicine and Environmental Sciences Categories as Case of Study,"Cascajares M, Alcayde A, Salmerón-Manzano E, Manzano-Agugliaro F.",Int J Environ Res Public Health. 2021 May 29;18(11):5851. doi: 10.3390/ijerph18115851.,Cascajares M,Int J Environ Res Public Health,2021,02/06/2021,PMC8197808,,10.3390/ijerph18115851
33816933,Discrete natural neighbour interpolation with uncertainty using cross-validation error-distance fields,Etherington TR.,PeerJ Comput Sci. 2020 Jul 13;6:e282. doi: 10.7717/peerj-cs.282. eCollection 2020.,Etherington TR,PeerJ Comput Sci,2020,05/04/2021,PMC7924714,,10.7717/peerj-cs.282
38624877,We Tell These Stories to Survive: Towards Abolition in Computer Science Education,"Jones ST, Melo NA.",Can J Sci Math and Technol Educ. 2021;21(2):290-308. doi: 10.1007/s42330-021-00158-2. Epub 2021 Aug 5.,Jones ST,Can J Sci Math and Technol Educ,2021,16/04/2024,PMC8340591,,10.1007/s42330-021-00158-2
38435576,Teaching computer architecture by designing and simulating processors from their bits and bytes,"Doğan M, Öztoprak K, Tolun MR.",PeerJ Comput Sci. 2024 Feb 19;10:e1818. doi: 10.7717/peerj-cs.1818. eCollection 2024.,Doğan M,PeerJ Comput Sci,2024,04/03/2024,PMC10909196,,10.7717/peerj-cs.1818
38028662,Trends and hotspots in research on medical images with deep learning: a bibliometric analysis from 2013 to 2023,"Chen B, Jin J, Liu H, Yang Z, Zhu H, Wang Y, Lin J, Wang S, Chen S.",Front Artif Intell. 2023 Nov 9;6:1289669. doi: 10.3389/frai.2023.1289669. eCollection 2023.,Chen B,Front Artif Intell,2023,29/11/2023,PMC10665961,,10.3389/frai.2023.1289669
25620916,How to build better memory training games,"Deveau J, Jaeggi SM, Zordan V, Phung C, Seitz AR.",Front Syst Neurosci. 2015 Jan 9;8:243. doi: 10.3389/fnsys.2014.00243. eCollection 2014.,Deveau J,Front Syst Neurosci,2015,27/01/2015,PMC4288240,,10.3389/fnsys.2014.00243
